Date(UTC),Gas Fees (Wei),Gas Fees(Ethereum),Ethereum(USD),Gas Price (USD)
06-12-2018,14048931400,1.40E-08,494.53,6.95E-06
6-13-2018,14416451849,1.44E-08,476.3,6.87E-06
6-14-2018,15916958110,1.59E-08,519.83,8.27E-06
6-15-2018,16804997297,1.68E-08,487.51,8.19E-06
6-16-2018,24848435239,2.48E-08,497.22,1.24E-05
6-17-2018,11225914551,1.12E-08,496.74,5.58E-06
6-18-2018,11823977189,1.18E-08,517.63,6.12E-06
6-19-2018,14427312991,1.44E-08,538.45,7.77E-06
6-20-2018,13472257819,1.35E-08,536.16,7.22E-06
6-21-2018,13047918845,1.30E-08,525.77,6.86E-06
6-22-2018,38878511772,3.89E-08,462.16,1.80E-05
6-23-2018,14029394940,1.40E-08,474.18,6.65E-06
6-24-2018,16163435399,1.62E-08,455.25,7.36E-06
6-25-2018,15637044897,1.56E-08,458.82,7.17E-06
6-26-2018,12011100131,1.20E-08,429.58,5.16E-06
6-27-2018,12446563365,1.24E-08,441.75,5.50E-06
6-28-2018,11696277117,1.17E-08,420.72,4.92E-06
6-29-2018,12115784768,1.21E-08,435.25,5.27E-06
6-30-2018,34210516007,3.42E-08,453.42,1.55E-05
07-01-2018,59842298209,5.98E-08,451.95,2.70E-05
07-02-2018,86348485003,8.63E-08,476.58,4.12E-05
07-03-2018,82063750329,8.21E-08,461.95,3.79E-05
07-04-2018,59083789609,5.91E-08,467.19,2.76E-05
07-05-2018,48722316331,4.87E-08,467.55,2.28E-05
07-06-2018,70207114167,7.02E-08,469.93,3.30E-05
07-07-2018,60236707195,6.02E-08,485.81,2.93E-05
07-08-2018,35585852337,3.56E-08,486.19,1.73E-05
07-09-2018,25829787141,2.58E-08,471.48,1.22E-05
07-10-2018,21324119980,2.13E-08,432.69,9.23E-06
07-11-2018,19054597794,1.91E-08,445.59,8.49E-06
07-12-2018,29189063475,2.92E-08,430.91,1.26E-05
7-13-2018,29846792155,2.98E-08,432.46,1.29E-05
7-14-2018,57677945355,5.77E-08,433.74,2.50E-05
7-15-2018,48216188725,4.82E-08,449.62,2.17E-05
7-16-2018,18562899613,1.86E-08,478.75,8.89E-06
7-17-2018,17548648323,1.75E-08,499.06,8.76E-06
7-18-2018,15413432909,1.54E-08,479.02,7.38E-06
7-19-2018,13033482562,1.30E-08,468.65,6.11E-06
7-20-2018,15878840129,1.59E-08,448.84,7.13E-06
7-21-2018,15826395751,1.58E-08,461.04,7.30E-06
7-22-2018,11032570831,1.10E-08,457.65,5.05E-06
7-23-2018,15546838989,1.55E-08,449.63,6.99E-06
7-24-2018,15414715967,1.54E-08,479.47,7.39E-06
7-25-2018,13351179160,1.34E-08,471.28,6.29E-06
7-26-2018,12324821471,1.23E-08,462.03,5.69E-06
7-27-2018,10745209264,1.07E-08,469.69,5.05E-06
7-28-2018,11542424148,1.15E-08,468.55,5.41E-06
7-29-2018,9257167474,9.26E-09,466.2,4.32E-06
7-30-2018,10934695303,1.09E-08,456.56,4.99E-06
7-31-2018,11023798202,1.10E-08,431.99,4.76E-06
08-01-2018,36681296496,3.67E-08,419.87,1.54E-05
08-02-2018,10200915813,1.02E-08,410.83,4.19E-06
08-03-2018,10514159674,1.05E-08,417.62,4.39E-06
08-04-2018,9924637420,9.92E-09,406.91,4.04E-06
08-05-2018,8072326506,8.07E-09,408.81,3.30E-06
08-06-2018,12535927147,1.25E-08,404.95,5.08E-06
08-07-2018,25250639628,2.53E-08,377.94,9.54E-06
08-08-2018,57398987243,5.74E-08,355.57,2.04E-05
08-09-2018,53118840657,5.31E-08,363.51,1.93E-05
08-10-2018,34476266415,3.45E-08,331.57,1.14E-05
08-11-2018,14836056985,1.48E-08,318.01,4.72E-06
08-12-2018,10976239504,1.10E-08,318.2,3.49E-06
8-13-2018,14813774854,1.48E-08,284.03,4.21E-06
8-14-2018,16051359286,1.61E-08,278.31,4.47E-06
8-15-2018,15051933577,1.51E-08,281.24,4.23E-06
8-16-2018,12638796914,1.26E-08,286.8,3.62E-06
8-17-2018,39211744629,3.92E-08,317.57,1.25E-05
8-18-2018,16113373784,1.61E-08,294.85,4.75E-06
8-19-2018,14361319521,1.44E-08,299.62,4.30E-06
8-20-2018,12426913415,1.24E-08,270.81,3.37E-06
8-21-2018,13046942385,1.30E-08,281.13,3.67E-06
8-22-2018,17019976734,1.70E-08,270.37,4.60E-06
8-23-2018,14051914381,1.41E-08,275.83,3.88E-06
8-24-2018,21501969162,2.15E-08,281.37,6.05E-06
8-25-2018,11428670781,1.14E-08,277.56,3.17E-06
8-26-2018,16106529314,1.61E-08,274.3,4.42E-06
8-27-2018,12387120423,1.24E-08,288.02,3.57E-06
8-28-2018,12808584631,1.28E-08,295.55,3.79E-06
8-29-2018,17290135695,1.73E-08,288.67,4.99E-06
8-30-2018,13559213793,1.36E-08,284.15,3.85E-06
8-31-2018,14419214330,1.44E-08,281.66,4.06E-06
09-01-2018,11043181909,1.10E-08,295.36,3.26E-06
09-02-2018,10276825820,1.03E-08,295.02,3.03E-06
09-03-2018,12111122355,1.21E-08,288.97,3.50E-06
09-04-2018,13885223845,1.39E-08,285.23,3.96E-06
09-05-2018,12606166478,1.26E-08,228.27,2.88E-06
09-06-2018,14951867224,1.50E-08,229.52,3.43E-06
09-07-2018,14734121984,1.47E-08,215.14,3.17E-06
09-08-2018,12166983189,1.22E-08,196.77,2.39E-06
09-09-2018,12538460676,1.25E-08,195.99,2.46E-06
09-10-2018,13452874427,1.35E-08,197.14,2.65E-06
09-11-2018,15682663024,1.57E-08,185.15,2.90E-06
09-12-2018,16182751014,1.62E-08,183.03,2.96E-06
9-13-2018,16645393282,1.66E-08,211.27,3.52E-06
9-14-2018,14645624925,1.46E-08,208.87,3.06E-06
9-15-2018,13261799419,1.33E-08,221.63,2.94E-06
9-16-2018,13161379589,1.32E-08,220.12,2.90E-06
9-17-2018,15406825205,1.54E-08,196.04,3.02E-06
9-18-2018,25201881762,2.52E-08,208.39,5.25E-06
9-19-2018,19871422869,1.99E-08,209.78,4.17E-06
9-20-2018,15892963469,1.59E-08,224.76,3.57E-06
9-21-2018,18242050701,1.82E-08,247.69,4.52E-06
9-22-2018,14429730599,1.44E-08,240.78,3.47E-06
9-23-2018,13141149214,1.31E-08,244.55,3.21E-06
9-24-2018,16838604807,1.68E-08,227.92,3.84E-06
9-25-2018,16972035503,1.70E-08,219.2,3.72E-06
9-26-2018,16344658408,1.63E-08,214.21,3.50E-06
9-27-2018,16744302672,1.67E-08,229.09,3.84E-06
9-28-2018,18138439166,1.81E-08,221.56,4.02E-06
9-29-2018,21874799566,2.19E-08,231.32,5.06E-06
9-30-2018,16556363668,1.66E-08,232.6,3.85E-06
10-01-2018,18941010255,1.89E-08,230.89,4.37E-06
10-02-2018,19034870185,1.90E-08,225.41,4.29E-06
10-03-2018,13248714205,1.32E-08,219.97,2.91E-06
10-04-2018,13254100643,1.33E-08,221.76,2.94E-06
10-05-2018,13568425987,1.36E-08,227.9,3.09E-06
10-06-2018,9435830094,9.44E-09,224.62,2.12E-06
10-07-2018,11769350664,1.18E-08,225.65,2.66E-06
10-08-2018,14576687784,1.46E-08,229.33,3.34E-06
10-09-2018,12984496071,1.30E-08,227.49,2.95E-06
10-10-2018,15893091379,1.59E-08,225.26,3.58E-06
10-11-2018,15385072382,1.54E-08,189.83,2.92E-06
10-12-2018,29285035983,2.93E-08,195.97,5.74E-06
10-13-2018,11594824099,1.16E-08,199.45,2.31E-06
10-14-2018,11723908779,1.17E-08,194.99,2.29E-06
10-15-2018,15629941859,1.56E-08,210.8,3.29E-06
10-16-2018,12735518129,1.27E-08,210.22,2.68E-06
10-17-2018,13443082264,1.34E-08,207.6,2.79E-06
10-18-2018,13150134317,1.32E-08,202.49,2.66E-06
10-19-2018,13701804233,1.37E-08,202.86,2.78E-06
10-20-2018,13289407017,1.33E-08,205.08,2.73E-06
10-21-2018,12030570166,1.20E-08,204.77,2.46E-06
10-22-2018,13162272626,1.32E-08,203.6,2.68E-06
10-23-2018,14521834338,1.45E-08,203.7,2.96E-06
10-24-2018,15173388388,1.52E-08,202.92,3.08E-06
10-25-2018,16014791521,1.60E-08,201.23,3.22E-06
10-26-2018,16417658883,1.64E-08,203.37,3.34E-06
10-27-2018,14137366445,1.41E-08,202.79,2.87E-06
10-28-2018,12960915217,1.30E-08,203.72,2.64E-06
10-29-2018,14943596679,1.49E-08,195.67,2.92E-06
10-30-2018,14925838057,1.49E-08,196.19,2.93E-06
10-31-2018,14904469017,1.49E-08,197.85,2.95E-06
11-01-2018,14202259616,1.42E-08,198.73,2.82E-06
11-02-2018,15183112207,1.52E-08,201.02,3.05E-06
11-03-2018,16145620959,1.61E-08,199.47,3.22E-06
11-04-2018,13064568368,1.31E-08,211.3,2.76E-06
11-05-2018,16749446191,1.67E-08,209.7,3.51E-06
11-06-2018,17333551729,1.73E-08,219.56,3.81E-06
11-07-2018,16337162082,1.63E-08,217.99,3.56E-06
11-08-2018,18892302279,1.89E-08,211.29,3.99E-06
11-09-2018,15752819992,1.58E-08,209.39,3.30E-06
11-10-2018,12031282399,1.20E-08,211.9,2.55E-06
11-11-2018,10621852227,1.06E-08,211.7,2.25E-06
11-12-2018,14368146227,1.44E-08,210.81,3.03E-06
11-13-2018,15059123069,1.51E-08,206.42,3.11E-06
11-14-2018,17416039750,1.74E-08,182.72,3.18E-06
11-15-2018,18474728790,1.85E-08,181.53,3.35E-06
11-16-2018,16120812190,1.61E-08,174.84,2.82E-06
11-17-2018,13275250100,1.33E-08,174.22,2.31E-06
11-18-2018,14895978165,1.49E-08,177.53,2.64E-06
11-19-2018,17028262287,1.70E-08,148.22,2.52E-06
11-20-2018,17960754304,1.80E-08,130.74,2.35E-06
11-21-2018,15269813534,1.53E-08,136.5,2.08E-06
11-22-2018,15007551180,1.50E-08,124.83,1.87E-06
11-23-2018,15807815573,1.58E-08,123.37,1.95E-06
11-24-2018,15420458863,1.54E-08,112.75,1.74E-06
11-25-2018,16305637620,1.63E-08,116.75,1.90E-06
11-26-2018,16319129861,1.63E-08,108.87,1.78E-06
11-27-2018,14675345264,1.47E-08,110.19,1.62E-06
11-28-2018,16292970940,1.63E-08,122.88,2.00E-06
11-29-2018,20346219794,2.03E-08,117.48,2.39E-06
11-30-2018,22652461526,2.27E-08,112.87,2.56E-06
12-01-2018,17360683398,1.74E-08,118.5,2.06E-06
12-02-2018,15744999974,1.57E-08,115.96,1.83E-06
12-03-2018,17352151387,1.74E-08,108.23,1.88E-06
12-04-2018,17192821913,1.72E-08,109.82,1.89E-06
12-05-2018,17707618986,1.77E-08,101.57,1.80E-06
12-06-2018,16361316325,1.64E-08,90.43,1.48E-06
12-07-2018,16593133453,1.66E-08,93.61,1.55E-06
12-08-2018,12334654966,1.23E-08,91.44,1.13E-06
12-09-2018,11985499611,1.20E-08,94.42,1.13E-06
12-10-2018,13943396527,1.39E-08,90.7,1.26E-06
12-11-2018,14800362183,1.48E-08,88.05,1.30E-06
12-12-2018,14460515241,1.45E-08,90.52,1.31E-06
12-13-2018,17612949432,1.76E-08,86.39,1.52E-06
12-14-2018,29183615469,2.92E-08,83.9,2.45E-06
12-15-2018,12752651260,1.28E-08,84.27,1.07E-06
12-16-2018,11777989321,1.18E-08,85.39,1.01E-06
12-17-2018,13823213704,1.38E-08,95.44,1.32E-06
12-18-2018,31672019232,3.17E-08,102.44,3.24E-06
12-19-2018,15897547045,1.59E-08,100.63,1.60E-06
12-20-2018,15781758963,1.58E-08,116.43,1.84E-06
12-21-2018,15818617345,1.58E-08,109.44,1.73E-06
12-22-2018,14021469358,1.40E-08,118.36,1.66E-06
12-23-2018,14622664850,1.46E-08,131.56,1.92E-06
12-24-2018,16608758417,1.66E-08,140.87,2.34E-06
12-25-2018,14765402060,1.48E-08,130.99,1.93E-06
12-26-2018,24477635489,2.45E-08,132.61,3.25E-06
12-27-2018,13530493595,1.35E-08,116.72,1.58E-06
12-28-2018,14151079675,1.42E-08,139.73,1.98E-06
12-29-2018,12984151825,1.30E-08,137.3,1.78E-06
12-30-2018,15843483124,1.58E-08,141.33,2.24E-06
12-31-2018,13844116120,1.38E-08,133.49,1.85E-06
01-01-2019,14330651283,1.43E-08,142.66,2.04E-06
01-02-2019,13518333631,1.35E-08,156.57,2.12E-06
01-03-2019,12695511480,1.27E-08,149.44,1.90E-06
01-04-2019,14197164275,1.42E-08,156.04,2.22E-06
01-05-2019,24120227063,2.41E-08,156.23,3.77E-06
01-06-2019,13443565864,1.34E-08,158.61,2.13E-06
01-07-2019,15727137336,1.57E-08,152.09,2.39E-06
01-08-2019,13679045245,1.37E-08,151.1,2.07E-06
01-09-2019,13525936033,1.35E-08,151.17,2.04E-06
01-10-2019,15364969669,1.54E-08,127.96,1.97E-06
01-11-2019,13631672273,1.36E-08,127.16,1.73E-06
01-12-2019,12182668844,1.22E-08,125.83,1.53E-06
1-13-2019,12299362181,1.23E-08,116.56,1.43E-06
1-14-2019,19179700938,1.92E-08,129.74,2.49E-06
1-15-2019,18403886289,1.84E-08,121.22,2.23E-06
1-16-2019,20629866067,2.06E-08,123.12,2.54E-06
1-17-2019,13639170146,1.36E-08,123.72,1.69E-06
1-18-2019,14390713391,1.44E-08,120.57,1.74E-06
1-19-2019,12427478085,1.24E-08,124.85,1.55E-06
1-20-2019,12387866392,1.24E-08,118.41,1.47E-06
1-21-2019,13567626739,1.36E-08,116.72,1.58E-06
1-22-2019,18561474026,1.86E-08,119.12,2.21E-06
1-23-2019,13308904468,1.33E-08,117.57,1.56E-06
1-24-2019,14394162195,1.44E-08,117.7,1.69E-06
1-25-2019,13857565780,1.39E-08,115.92,1.61E-06
1-26-2019,12616710414,1.26E-08,116.33,1.47E-06
1-27-2019,11788620538,1.18E-08,112.27,1.32E-06
1-28-2019,15213901906,1.52E-08,106.36,1.62E-06
1-29-2019,12439032644,1.24E-08,104.75,1.30E-06
1-30-2019,13051979777,1.31E-08,109.04,1.42E-06
1-31-2019,14209971121,1.42E-08,106.89,1.52E-06
02-01-2019,13234562600,1.32E-08,107.03,1.42E-06
02-02-2019,12000569516,1.20E-08,111,1.33E-06
02-03-2019,11637460620,1.16E-08,107.21,1.25E-06
02-04-2019,12082194503,1.21E-08,106.9,1.29E-06
02-05-2019,12593215644,1.26E-08,106.93,1.35E-06
02-06-2019,12593166346,1.26E-08,104.5,1.32E-06
02-07-2019,14057368181,1.41E-08,104.3,1.47E-06
02-08-2019,13310836398,1.33E-08,119.49,1.59E-06
02-09-2019,12390959208,1.24E-08,119.46,1.48E-06
02-10-2019,12847065310,1.28E-08,125.58,1.61E-06
02-11-2019,13977805236,1.40E-08,120.76,1.69E-06
02-12-2019,13012487105,1.30E-08,122.63,1.60E-06
2-13-2019,13713241302,1.37E-08,122.31,1.68E-06
2-14-2019,19148327564,1.91E-08,120.85,2.31E-06
2-15-2019,14753437258,1.48E-08,122.02,1.80E-06
2-16-2019,13510079150,1.35E-08,123.26,1.67E-06
2-17-2019,13757940835,1.38E-08,134.28,1.85E-06
2-18-2019,17094399315,1.71E-08,146.53,2.50E-06
2-19-2019,3.74E+11,3.74E-07,144.4,5.40E-05
2-20-2019,16098676684,1.61E-08,149.23,2.40E-06
2-21-2019,15306757881,1.53E-08,146.36,2.24E-06
2-22-2019,14913439608,1.49E-08,149.04,2.22E-06
2-23-2019,14039107293,1.40E-08,159.48,2.24E-06
2-24-2019,16251853700,1.63E-08,133.42,2.17E-06
2-25-2019,17020990610,1.70E-08,139.02,2.37E-06
2-26-2019,17415861033,1.74E-08,137.12,2.39E-06
2-27-2019,16334617513,1.63E-08,135.94,2.22E-06
2-28-2019,18834674068,1.88E-08,136.29,2.57E-06
03-01-2019,12974077284,1.30E-08,136.15,1.77E-06
03-02-2019,12153807142,1.22E-08,133.81,1.63E-06
03-03-2019,12061882513,1.21E-08,131.21,1.58E-06
03-04-2019,12666122902,1.27E-08,126.43,1.60E-06
03-05-2019,13496902482,1.35E-08,137.93,1.86E-06
03-06-2019,14045984060,1.40E-08,138.49,1.95E-06
03-07-2019,13740882181,1.37E-08,137.65,1.89E-06
03-08-2019,13479470622,1.35E-08,134.42,1.81E-06
03-09-2019,11957111022,1.20E-08,138.24,1.65E-06
03-10-2019,12106103256,1.21E-08,136.36,1.65E-06
03-11-2019,12484460496,1.25E-08,133.54,1.67E-06
03-12-2019,12238102548,1.22E-08,134.37,1.64E-06
3-13-2019,11704565023,1.17E-08,132.93,1.56E-06
3-14-2019,11052545157,1.11E-08,132.89,1.47E-06
3-15-2019,11016047852,1.10E-08,137.63,1.52E-06
3-16-2019,10383394399,1.04E-08,141.68,1.47E-06
3-17-2019,14577386112,1.46E-08,139.74,2.04E-06
3-18-2019,1.96E+11,1.96E-07,138.5,2.71E-05
3-19-2019,13115885101,1.31E-08,139.46,1.83E-06
3-20-2019,12179174942,1.22E-08,140.22,1.71E-06
3-21-2019,13904796043,1.39E-08,135.61,1.89E-06
3-22-2019,12584442788,1.26E-08,136.76,1.72E-06
3-23-2019,10993968628,1.10E-08,137.74,1.51E-06
3-24-2019,11003609358,1.10E-08,136.21,1.50E-06
3-25-2019,12549223821,1.25E-08,133.96,1.68E-06
3-26-2019,13059718677,1.31E-08,134.29,1.75E-06
3-27-2019,13596847307,1.36E-08,140.23,1.91E-06
3-28-2019,12197114669,1.22E-08,138.39,1.69E-06
3-29-2019,12576130900,1.26E-08,144.41,1.82E-06
3-30-2019,10413550419,1.04E-08,143.29,1.49E-06
3-31-2019,10558447429,1.06E-08,142.4,1.50E-06
04-01-2019,12552870066,1.26E-08,141.85,1.78E-06
04-02-2019,13857811373,1.39E-08,164.93,2.29E-06
04-03-2019,16783552076,1.68E-08,161.18,2.71E-06
04-04-2019,13718910474,1.37E-08,158.07,2.17E-06
04-05-2019,11844298751,1.18E-08,166.39,1.97E-06
04-06-2019,10759382633,1.08E-08,166.28,1.79E-06
04-07-2019,11332764771,1.13E-08,175.57,1.99E-06
04-08-2019,12537949552,1.25E-08,181.06,2.27E-06
04-09-2019,12040035380,1.20E-08,176.3,2.12E-06
04-10-2019,15258127612,1.53E-08,177.39,2.71E-06
04-11-2019,12499489602,1.25E-08,165.24,2.07E-06
04-12-2019,11673635693,1.17E-08,164.56,1.92E-06
4-13-2019,10652876605,1.07E-08,164.53,1.75E-06
4-14-2019,10388886423,1.04E-08,168.68,1.75E-06
4-15-2019,10617255578,1.06E-08,160.3,1.70E-06
4-16-2019,10784749556,1.08E-08,166.9,1.80E-06
4-17-2019,11272692912,1.13E-08,167.02,1.88E-06
4-18-2019,11933245058,1.19E-08,174.6,2.08E-06
4-19-2019,11036616753,1.10E-08,174.13,1.92E-06
4-20-2019,8988625935,8.99E-09,173.96,1.56E-06
4-21-2019,9504825894,9.50E-09,170.3,1.62E-06
4-22-2019,10745867154,1.07E-08,171.9,1.85E-06
4-23-2019,11225045012,1.12E-08,170.66,1.92E-06
4-24-2019,12141527708,1.21E-08,166.05,2.02E-06
4-25-2019,10528010066,1.05E-08,152.99,1.61E-06
4-26-2019,12095560071,1.21E-08,156.45,1.89E-06
4-27-2019,9632992552,9.63E-09,158.36,1.53E-06
4-28-2019,9399212617,9.40E-09,158.05,1.49E-06
4-29-2019,10356343230,1.04E-08,156.69,1.62E-06
4-30-2019,10119622328,1.01E-08,164.39,1.66E-06
05-01-2019,9786414125,9.79E-09,161.42,1.58E-06
05-02-2019,40480290586,4.05E-08,161.29,6.53E-06
05-03-2019,10997063020,1.10E-08,168.24,1.85E-06
05-04-2019,10092628539,1.01E-08,163.61,1.65E-06
05-05-2019,9698121519,9.70E-09,163.94,1.59E-06
05-06-2019,10589774139,1.06E-08,173.7,1.84E-06
05-07-2019,12582212961,1.26E-08,168.59,2.12E-06
05-08-2019,10988087035,1.10E-08,171.42,1.88E-06
05-09-2019,10636414510,1.06E-08,170.86,1.82E-06
05-10-2019,11387738585,1.14E-08,172.5,1.96E-06
05-11-2019,10905004770,1.09E-08,192.44,2.10E-06
05-12-2019,10835160355,1.08E-08,188.14,2.04E-06
5-13-2019,13689484729,1.37E-08,195.83,2.68E-06
5-14-2019,13338733306,1.33E-08,217.16,2.90E-06
5-15-2019,16275386400,1.63E-08,248.64,4.05E-06
5-16-2019,21005575115,2.10E-08,264.47,5.56E-06
5-17-2019,18212850135,1.82E-08,244.84,4.46E-06
5-18-2019,14709151796,1.47E-08,233.96,3.44E-06
5-19-2019,14046405891,1.40E-08,260.9,3.66E-06
5-20-2019,15523993957,1.55E-08,252.1,3.91E-06
5-21-2019,12949937514,1.29E-08,254.94,3.30E-06
5-22-2019,16439389013,1.64E-08,243.46,4.00E-06
5-23-2019,14469157604,1.45E-08,245.6,3.55E-06
5-24-2019,15059891209,1.51E-08,249.61,3.76E-06
5-25-2019,12137206615,1.21E-08,251.49,3.05E-06
5-26-2019,10795166754,1.08E-08,268.26,2.90E-06
5-27-2019,14709981473,1.47E-08,271.83,4.00E-06
5-28-2019,15120065441,1.51E-08,271.45,4.10E-06
5-29-2019,16609583268,1.66E-08,269.6,4.48E-06
5-30-2019,17362707848,1.74E-08,254.45,4.42E-06
5-31-2019,15875042148,1.59E-08,267.42,4.25E-06
06-01-2019,13503119540,1.35E-08,264.71,3.57E-06
06-02-2019,10838097166,1.08E-08,269.31,2.92E-06
06-03-2019,13640935323,1.36E-08,249.61,3.40E-06
06-04-2019,14336552294,1.43E-08,241.1,3.46E-06
06-05-2019,14726678555,1.47E-08,246.16,3.63E-06
06-06-2019,12778204456,1.28E-08,249.43,3.19E-06
06-07-2019,13551596264,1.36E-08,249.54,3.38E-06
06-08-2019,17865004622,1.79E-08,244.4,4.37E-06
06-09-2019,11772205947,1.18E-08,231.43,2.72E-06
06-10-2019,18767554680,1.88E-08,247.96,4.65E-06
06-11-2019,15302451335,1.53E-08,245.16,3.75E-06
06-12-2019,10704744804,1.07E-08,263.05,2.82E-06
6-13-2019,12498549026,1.25E-08,255.09,3.19E-06
6-14-2019,14507586823,1.45E-08,263.76,3.83E-06
6-15-2019,16655327552,1.67E-08,269.22,4.48E-06
6-16-2019,11744583227,1.17E-08,268.53,3.15E-06
6-17-2019,18033291141,1.80E-08,273.92,4.94E-06
6-18-2019,14140107747,1.41E-08,264.51,3.74E-06
6-19-2019,15149051110,1.51E-08,269.01,4.08E-06
6-20-2019,19171082160,1.92E-08,272.21,5.22E-06
6-21-2019,13132476474,1.31E-08,296.03,3.89E-06
6-22-2019,13079405563,1.31E-08,309.41,4.05E-06
6-23-2019,12904678821,1.29E-08,307.37,3.97E-06
6-24-2019,14343913979,1.43E-08,311.22,4.46E-06
6-25-2019,18442820009,1.84E-08,316.53,5.84E-06
6-26-2019,18226501386,1.82E-08,333.76,6.08E-06
6-27-2019,20536617245,2.05E-08,294.07,6.04E-06
6-28-2019,17836887762,1.78E-08,309.37,5.52E-06
6-29-2019,14969393891,1.50E-08,317.32,4.75E-06
6-30-2019,16147637271,1.61E-08,290.15,4.69E-06
07-01-2019,19512205713,1.95E-08,294.17,5.74E-06
07-02-2019,15735865298,1.57E-08,291.61,4.59E-06
07-03-2019,13480141945,1.35E-08,302.17,4.07E-06
07-04-2019,12364123019,1.24E-08,283.1,3.50E-06
07-05-2019,14987264501,1.50E-08,287.9,4.31E-06
07-06-2019,14142027457,1.41E-08,287.98,4.07E-06
07-07-2019,11147195619,1.11E-08,306.43,3.42E-06
07-08-2019,15397601493,1.54E-08,313.34,4.82E-06
07-09-2019,13383300658,1.34E-08,307.89,4.12E-06
07-10-2019,12326418288,1.23E-08,288.64,3.56E-06
07-11-2019,17687551350,1.77E-08,268.56,4.75E-06
07-12-2019,13888489542,1.39E-08,275.41,3.83E-06
7-13-2019,11680585984,1.17E-08,268.94,3.14E-06
7-14-2019,14577611095,1.46E-08,226.16,3.30E-06
7-15-2019,14426857237,1.44E-08,228.14,3.29E-06
7-16-2019,22122486062,2.21E-08,198.71,4.40E-06
7-17-2019,19083353124,1.91E-08,211.29,4.03E-06
7-18-2019,13195635523,1.32E-08,226.09,2.98E-06
7-19-2019,17348942255,1.73E-08,221.28,3.84E-06
7-20-2019,11840097601,1.18E-08,228.71,2.71E-06
7-21-2019,12479706324,1.25E-08,225.4,2.81E-06
7-22-2019,12142840638,1.21E-08,217.22,2.64E-06
7-23-2019,13450918814,1.35E-08,212.21,2.85E-06
7-24-2019,18814448444,1.88E-08,216.66,4.08E-06
7-25-2019,17932204080,1.79E-08,219.41,3.93E-06
7-26-2019,12838413297,1.28E-08,219.23,2.81E-06
7-27-2019,11947823376,1.19E-08,219.85,2.63E-06
7-28-2019,10847884346,1.08E-08,211.15,2.29E-06
7-29-2019,12397806559,1.24E-08,211.52,2.62E-06
7-30-2019,12981815912,1.30E-08,209.82,2.72E-06
7-31-2019,13135247596,1.31E-08,218.7,2.87E-06
08-01-2019,18322408906,1.83E-08,217.51,3.99E-06
08-02-2019,14823555455,1.48E-08,217.7,3.23E-06
08-03-2019,17617275530,1.76E-08,217.73,3.84E-06
08-04-2019,10409458393,1.04E-08,222.7,2.32E-06
08-05-2019,12210509054,1.22E-08,233.19,2.85E-06
08-06-2019,12165349434,1.22E-08,228.7,2.78E-06
08-07-2019,11738350907,1.17E-08,225.99,2.65E-06
08-08-2019,12955325988,1.30E-08,221.18,2.87E-06
08-09-2019,13282666611,1.33E-08,210.47,2.80E-06
08-10-2019,12206554100,1.22E-08,206.26,2.52E-06
08-11-2019,11603713466,1.16E-08,216.39,2.51E-06
08-12-2019,12880972727,1.29E-08,211.28,2.72E-06
8-13-2019,18843208007,1.88E-08,208.62,3.93E-06
8-14-2019,12123884054,1.21E-08,186.49,2.26E-06
8-15-2019,14148150754,1.41E-08,188.24,2.66E-06
8-16-2019,12115168092,1.21E-08,185.41,2.25E-06
8-17-2019,10569108357,1.06E-08,185.69,1.96E-06
8-18-2019,11034378823,1.10E-08,194.77,2.15E-06
8-19-2019,13799990972,1.38E-08,202.43,2.79E-06
8-20-2019,13732033156,1.37E-08,196.55,2.70E-06
8-21-2019,16137663683,1.61E-08,187.32,3.02E-06
8-22-2019,14728994674,1.47E-08,190.74,2.81E-06
8-23-2019,13885136910,1.39E-08,194.64,2.70E-06
8-24-2019,12922493779,1.29E-08,191.08,2.47E-06
8-25-2019,13825531935,1.38E-08,186.58,2.58E-06
8-26-2019,17091718069,1.71E-08,188.46,3.22E-06
8-27-2019,14643027992,1.46E-08,187.17,2.74E-06
8-28-2019,14687429096,1.47E-08,173.01,2.54E-06
8-29-2019,14972039939,1.50E-08,168.95,2.53E-06
8-30-2019,14683175769,1.47E-08,168.52,2.47E-06
8-31-2019,14081874858,1.41E-08,172.15,2.42E-06
09-01-2019,14737729279,1.47E-08,171.42,2.53E-06
09-02-2019,15926990579,1.59E-08,178.76,2.85E-06
09-03-2019,14923674985,1.49E-08,179.13,2.67E-06
09-04-2019,14800053906,1.48E-08,175.01,2.59E-06
09-05-2019,18537447007,1.85E-08,174.38,3.23E-06
09-06-2019,18511322392,1.85E-08,169.47,3.14E-06
09-07-2019,17638675225,1.76E-08,178.32,3.15E-06
09-08-2019,18529952052,1.85E-08,181.67,3.37E-06
09-09-2019,20493754439,2.05E-08,180.84,3.71E-06
09-10-2019,21909433505,2.19E-08,180.01,3.94E-06
09-11-2019,21354287415,2.14E-08,178.48,3.81E-06
09-12-2019,22875111264,2.29E-08,181.19,4.14E-06
9-13-2019,22002957173,2.20E-08,181.56,3.99E-06
9-14-2019,22838238246,2.28E-08,188.9,4.31E-06
9-15-2019,22247768825,2.22E-08,189.48,4.22E-06
9-16-2019,22828478879,2.28E-08,197.85,4.52E-06
9-17-2019,26408295258,2.64E-08,207.9,5.49E-06
9-18-2019,28400755958,2.84E-08,210.5,5.98E-06
